crop,market_code,market_name,district,state,min_price,max_price,modal_price,arrival_quantity,date,source,agroelevate_avg_price,district_demand,market_volatility,weekly_trend,monthly_trend
Potato,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,17.14,21.82,19.48,2137.4,2026-06-28,eNAM,21.47,70.4,0.1249,0.0528,0.0706
Sugarcane,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,3.94,5.02,4.48,325.4,2026-06-28,eNAM,5.17,79.2,0.124,-0.0604,0.0393
Carrot,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,56.53,71.95,64.24,1981.8,2026-06-28,eNAM,70.27,82.4,0.1828,0.0529,0.0828
Mango,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,46.68,59.42,53.05,200.9,2026-06-28,eNAM,56.14,78.5,0.1511,0.0902,0.1599
Pearl Millet,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,30.62,38.98,34.8,1214.7,2026-06-28,eNAM,38.83,28.4,0.2247,-0.0125,0.0559
Jowar,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,53.39,67.95,60.67,2559.6,2026-06-28,eNAM,68.24,93.2,0.214,-0.0458,-0.0919
Moong,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,44.37,56.47,50.42,946.8,2026-06-28,eNAM,55.45,49.4,0.1826,0.0858,-0.0487
Capsicum,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,38.32,48.76,43.54,1286.0,2026-06-28,eNAM,50.84,84.7,0.2471,0.0874,0.008
French Beans,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,44.14,56.18,50.16,4242.4,2026-06-28,eNAM,53.33,77.8,0.0956,0.0183,-0.0824
Sorghum,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,36.56,46.52,41.54,4289.4,2026-06-28,eNAM,44.1,45.7,0.1107,0.1128,0.1629
Tobacco,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,59.61,75.87,67.74,4093.7,2026-06-28,eNAM,74.47,50.3,0.1858,0.0186,0.1148
Barley,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,39.16,49.84,44.5,3004.6,2026-06-28,eNAM,52.26,36.7,0.2002,0.0191,0.0725
Orange,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,57.18,72.78,64.98,4121.3,2026-06-28,eNAM,76.44,46.4,0.1898,-0.0293,0.1699
Horse Gram,MKT0103,Dadra APMC 5,DN005,Dadra and Nagar Haveli and Daman and Diu,41.07,52.27,46.67,3751.2,2026-06-28,eNAM,53.92,68.4,0.2145,0.0463,-0.1199
Ridge Gourd,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,44.33,56.41,50.37,528.7,2026-06-28,data.gov.in,53.44,69.3,0.1732,-0.006,0.0111
Cumin,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,42.3,53.84,48.07,3455.5,2026-06-28,data.gov.in,51.79,82.6,0.2355,-0.0617,0.1458
Bamboo,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,42.05,53.51,47.78,1784.8,2026-06-28,data.gov.in,53.3,89.1,0.2176,-0.0273,-0.0107
Jowar,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,40.03,50.95,45.49,1168.7,2026-06-28,data.gov.in,48.43,77.7,0.2034,0.0185,0.1356
Masoor Dal,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,52.2,66.44,59.32,1291.9,2026-06-28,data.gov.in,64.19,98.0,0.1721,-0.075,0.0716
Capsicum,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,33.01,42.01,37.51,4049.6,2026-06-28,data.gov.in,39.83,40.4,0.1319,-0.0112,-0.0707
Sona Masuri,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,42.2,53.72,47.96,2595.1,2026-06-28,data.gov.in,51.87,52.5,0.2112,0.058,0.1235
Semolina,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,43.26,55.06,49.16,4483.1,2026-06-28,data.gov.in,54.4,44.0,0.1819,0.0961,0.1939
Horse Gram,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,25.15,32.01,28.58,3908.0,2026-06-28,data.gov.in,31.75,98.0,0.1695,0.0002,0.1221
Red Chilli,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,26.52,33.76,30.14,1643.8,2026-06-28,data.gov.in,33.43,44.1,0.1427,0.0193,0.0433
Little Millet,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,58.68,74.68,66.68,3419.4,2026-06-28,data.gov.in,77.04,49.1,0.1081,0.0257,0.0273
Chickpea,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,48.8,62.1,55.45,1245.7,2026-06-28,data.gov.in,64.25,81.8,0.0998,0.0089,0.0547
Chilli,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,102.19,130.07,116.13,4743.1,2026-06-28,data.gov.in,125.76,58.4,0.193,-0.0235,0.1217
Field Pea,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,59.83,76.15,67.99,3497.6,2026-06-28,data.gov.in,72.84,43.3,0.0999,0.101,0.0374
Tomato,MKT0104,Dadra mandi 6,DN006,Dadra and Nagar Haveli and Daman and Diu,33.82,43.04,38.43,3198.1,2026-06-28,data.gov.in,42.98,81.2,0.0584,0.0236,0.0326
Arhar,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,46.85,59.63,53.24,2240.9,2026-06-28,AGMARKNET,57.53,64.8,0.1886,-0.0099,0.0833
Moong,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,39.14,49.82,44.48,3734.4,2026-06-28,AGMARKNET,50.38,87.5,0.2421,0.0891,-0.0137
Almond,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,29.95,38.11,34.03,3894.0,2026-06-28,AGMARKNET,37.7,60.1,0.1279,-0.0103,-0.1269
Isabgol,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,56.91,72.43,64.67,1381.1,2026-06-28,AGMARKNET,76.08,57.2,0.0865,-0.0116,0.1925
Kenaf,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,45.61,58.05,51.83,1840.8,2026-06-28,AGMARKNET,57.9,92.3,0.1527,-0.0228,-0.1428
Wheat Flour,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,51.26,65.24,58.25,1943.8,2026-06-28,AGMARKNET,66.15,41.1,0.2117,0.0368,-0.0718
Pumpkin,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,34.07,43.37,38.72,1835.9,2026-06-28,AGMARKNET,41.69,88.9,0.1855,-0.072,-0.0109
Moong Dal,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,41.07,52.27,46.67,3518.6,2026-06-28,AGMARKNET,50.15,38.5,0.2099,0.0273,0.1462
Carrot,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,42.82,54.5,48.66,957.9,2026-06-28,AGMARKNET,51.65,93.7,0.0932,-0.0547,-0.0487
Mango,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,57.92,73.72,65.82,4199.3,2026-06-28,AGMARKNET,75.43,79.4,0.1222,0.0673,0.057
Cashew,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,30.53,38.85,34.69,3082.3,2026-06-28,AGMARKNET,39.15,81.5,0.217,0.0354,-0.1125
Okra,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,51.74,65.84,58.79,3934.5,2026-06-28,AGMARKNET,69.27,44.6,0.1171,0.1133,0.169
Arecanut,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,54.36,69.18,61.77,4228.7,2026-06-28,AGMARKNET,67.1,76.8,0.1874,-0.0189,0.0297
Drumstick,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,51.93,66.09,59.01,3904.9,2026-06-28,AGMARKNET,67.67,57.4,0.0915,-0.0692,-0.1377
Little Millet,MKT0105,Dadra eNAM hub 7,DN007,Dadra and Nagar Haveli and Daman and Diu,51.34,65.34,58.34,1162.9,2026-06-28,AGMARKNET,62.62,98.0,0.119,0.0338,-0.1239
Almond,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,35.6,45.32,40.46,512.7,2026-06-28,eNAM,44.15,64.2,0.099,0.067,0.0315
Chilli,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,102.26,130.14,116.2,3000.6,2026-06-28,eNAM,132.33,57.7,0.1647,0.0642,0.0422
Okra,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,25.0,31.82,28.41,1987.7,2026-06-28,eNAM,30.92,72.9,0.072,-0.0394,-0.1267
Coriander,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,38.82,49.4,44.11,3114.0,2026-06-28,eNAM,48.63,97.8,0.0694,-0.0213,-0.1008
Psyllium,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,45.43,57.81,51.62,1312.4,2026-06-28,eNAM,57.75,34.4,0.1149,0.0283,-0.0108
Cardamom,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,41.01,52.19,46.6,1734.6,2026-06-28,eNAM,54.43,65.5,0.1624,0.0132,0.0731
Sann Hemp,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,29.64,37.72,33.68,986.9,2026-06-28,eNAM,36.37,51.7,0.1953,-0.01,0.0409
Nutmeg,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,33.23,42.29,37.76,4286.1,2026-06-28,eNAM,40.02,35.5,0.1029,0.0215,0.0759
Spinach,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,37.8,48.1,42.95,3115.4,2026-06-28,eNAM,50.35,72.1,0.1843,0.0648,0.0246
Lemongrass,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,35.42,45.08,40.25,941.1,2026-06-28,eNAM,45.51,61.5,0.141,0.1002,-0.0993
Orange,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,30.89,39.31,35.1,4344.0,2026-06-28,eNAM,37.52,91.4,0.0674,0.044,0.1051
Broken Rice,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,51.85,65.99,58.92,4423.4,2026-06-28,eNAM,68.22,44.1,0.0872,-0.0338,-0.064
Natural Rubber,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,44.14,56.18,50.16,3699.5,2026-06-28,eNAM,58.99,67.2,0.207,0.0689,0.0768
Brinjal,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,44.0,56.0,50.0,4724.5,2026-06-28,eNAM,54.65,71.6,0.2174,-0.0603,0.1639
Bottle Gourd,MKT0106,Dadra wholesale 8,DN008,Dadra and Nagar Haveli and Daman and Diu,52.65,67.01,59.83,1663.9,2026-06-28,eNAM,69.36,62.9,0.198,0.1113,0.1901
Onion,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,23.76,30.24,27.0,677.2,2026-06-28,data.gov.in,30.28,83.7,0.2072,0.1106,0.0272
Mustard,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,40.95,52.11,46.53,3010.7,2026-06-28,data.gov.in,48.95,50.8,0.1961,0.0189,0.0095
Hybrid Cotton,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,30.84,39.26,35.05,3634.5,2026-06-28,data.gov.in,41.31,65.7,0.0724,0.0125,-0.0126
Lemongrass,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,62.83,79.97,71.4,3707.1,2026-06-28,data.gov.in,75.74,47.1,0.1063,0.0422,-0.0706
Tea,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,45.08,57.38,51.23,4827.8,2026-06-28,data.gov.in,54.33,77.1,0.1247,-0.0649,0.1397
Jowar,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,56.63,72.07,64.35,3544.4,2026-06-28,data.gov.in,75.45,55.3,0.1714,0.0263,0.0847
French Beans,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,29.52,37.58,33.55,3664.6,2026-06-28,data.gov.in,36.69,74.9,0.134,0.1091,-0.0885
Guava,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,44.19,56.25,50.22,2179.0,2026-06-28,data.gov.in,56.04,70.4,0.246,0.0618,0.1644
Yam,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,57.13,72.71,64.92,2341.1,2026-06-28,data.gov.in,72.79,55.5,0.0933,0.0699,0.0976
Castor,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,49.34,62.8,56.07,1245.2,2026-06-28,data.gov.in,63.95,48.9,0.1807,0.0086,-0.0708
Clove,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,57.31,72.93,65.12,3804.8,2026-06-28,data.gov.in,73.39,50.9,0.0507,0.052,-0.0636
Lentil,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,41.03,52.21,46.62,592.2,2026-06-28,data.gov.in,54.41,45.6,0.1016,-0.0447,0.0935
Vanilla,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,31.72,40.38,36.05,158.7,2026-06-28,data.gov.in,38.56,75.9,0.2237,0.0809,0.1723
Groundnut,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,43.25,55.05,49.15,781.1,2026-06-28,data.gov.in,52.16,75.4,0.1879,0.0875,0.0733
Kenaf,MKT0107,Dadra APMC 9,DN009,Dadra and Nagar Haveli and Daman and Diu,37.7,47.98,42.84,3542.8,2026-06-28,data.gov.in,46.18,51.3,0.1144,0.003,-0.0165
Lemongrass,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,26.58,33.82,30.2,3717.5,2026-06-28,AGMARKNET,33.86,68.4,0.2098,0.0827,0.1534
Green Chilli,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,33.28,42.36,37.82,779.5,2026-06-28,AGMARKNET,42.97,67.0,0.0756,0.0138,0.0321
Foxtail Millet,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,31.45,40.03,35.74,1175.2,2026-06-28,AGMARKNET,41.48,79.5,0.0872,-0.0383,0.1143
Wheat Flour,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,41.03,52.21,46.62,1477.7,2026-06-28,AGMARKNET,54.61,57.6,0.1906,-0.0099,-0.047
Masoor,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,29.23,37.21,33.22,2351.3,2026-06-28,AGMARKNET,37.03,90.3,0.1776,-0.0202,0.0019
Mango,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,54.53,69.41,61.97,3915.3,2026-06-28,AGMARKNET,70.27,98.0,0.1994,0.0034,0.1979
Drumstick,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,37.71,47.99,42.85,969.6,2026-06-28,AGMARKNET,45.93,74.6,0.1459,0.0285,0.1465
Maize,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,17.28,22.0,19.64,3675.4,2026-06-28,AGMARKNET,22.6,70.1,0.0777,-0.0165,-0.0429
Sona Masuri,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,44.98,57.24,51.11,491.8,2026-06-28,AGMARKNET,56.54,72.5,0.1795,-0.0369,-0.1425
Sann Hemp,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,36.38,46.3,41.34,573.3,2026-06-28,AGMARKNET,44.26,65.1,0.1864,0.091,0.0395
Pomegranate,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,38.82,49.4,44.11,454.8,2026-06-28,AGMARKNET,47.99,77.4,0.1845,0.0667,0.0798
Cardamom,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,52.03,66.23,59.13,3116.1,2026-06-28,AGMARKNET,69.45,49.1,0.1709,0.0471,-0.0582
Cashew,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,37.26,47.42,42.34,1327.7,2026-06-28,AGMARKNET,46.07,41.1,0.1744,0.0141,-0.1455
Turmeric,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,79.07,100.63,89.85,1426.8,2026-06-28,AGMARKNET,102.16,80.8,0.1199,-0.0781,0.1491
Spinach,MKT0108,Dadra mandi 10,DN010,Dadra and Nagar Haveli and Daman and Diu,43.48,55.34,49.41,4307.1,2026-06-28,AGMARKNET,52.79,90.1,0.0908,-0.028,-0.0351
Beetroot,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,28.18,35.86,32.02,1449.5,2026-06-28,eNAM,34.89,53.0,0.2108,0.0191,0.1269
Parboiled Rice,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,28.11,35.77,31.94,778.8,2026-06-28,eNAM,36.22,59.8,0.121,-0.0382,0.0851
Urad Dal,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,32.02,40.76,36.39,2705.3,2026-06-28,eNAM,41.77,68.7,0.1519,0.0967,0.0956
Sona Masuri,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,52.32,66.58,59.45,3932.2,2026-06-28,eNAM,64.81,98.0,0.0878,-0.0448,0.0227
Banana,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,17.7,22.52,20.11,4144.9,2026-06-28,eNAM,22.59,75.5,0.1321,0.0104,-0.1222
Cumin,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,27.15,34.55,30.85,2692.6,2026-06-28,eNAM,35.17,71.2,0.2159,0.0748,0.0498
Maize Grits,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,49.19,62.61,55.9,3186.1,2026-06-28,eNAM,65.51,88.4,0.0549,-0.0189,0.0981
Neem Seeds,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,46.11,58.69,52.4,4671.0,2026-06-28,eNAM,57.11,98.0,0.0763,-0.0556,-0.002
Elephant Foot Yam,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,39.56,50.34,44.95,4801.7,2026-06-28,eNAM,52.78,41.3,0.1598,0.0498,0.1562
Lettuce,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,35.45,45.11,40.28,3365.9,2026-06-28,eNAM,46.05,84.8,0.1717,-0.0076,0.1643
Yam,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,46.03,58.59,52.31,4673.5,2026-06-28,eNAM,59.38,84.4,0.1675,-0.0754,0.1438
Tea,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,36.75,46.77,41.76,3368.1,2026-06-28,eNAM,46.3,49.1,0.1192,0.0103,-0.0732
Aloe Vera,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,47.1,59.94,53.52,695.8,2026-06-28,eNAM,60.31,54.3,0.1277,-0.0078,0.0234
Tobacco,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,25.34,32.24,28.79,4482.4,2026-06-28,eNAM,30.25,73.5,0.1695,-0.009,-0.0935
Green Peas,MKT0109,Dadra eNAM hub 11,DN011,Dadra and Nagar Haveli and Daman and Diu,47.27,60.17,53.72,702.0,2026-06-28,eNAM,61.31,67.3,0.0752,0.0259,-0.0929
Little Millet,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,31.69,40.33,36.01,2284.0,2026-06-28,data.gov.in,40.35,70.0,0.2253,-0.0704,-0.0958
Arecanut,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,57.77,73.53,65.65,2943.0,2026-06-28,data.gov.in,73.87,89.9,0.2356,0.0297,-0.1368
Cashew,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,38.61,49.15,43.88,3471.7,2026-06-28,data.gov.in,46.3,66.5,0.1856,0.0685,0.0434
Field Pea,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,45.85,58.35,52.1,1337.3,2026-06-28,data.gov.in,61.25,74.1,0.2156,-0.0729,-0.0252
Soybean,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,37.02,47.12,42.07,2477.1,2026-06-28,data.gov.in,46.0,66.6,0.2035,-0.0437,0.1701
Spinach,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,55.45,70.57,63.01,4574.4,2026-06-28,data.gov.in,66.94,50.4,0.077,-0.0494,-0.1279
Ridge Gourd,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,55.45,70.57,63.01,3831.3,2026-06-28,data.gov.in,67.08,66.9,0.2428,0.0304,0.1116
Masoor,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,28.95,36.85,32.9,455.5,2026-06-28,data.gov.in,35.15,81.0,0.1584,-0.0068,0.0874
Stevia,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,67.35,85.71,76.53,529.7,2026-06-28,data.gov.in,87.91,67.0,0.1825,-0.077,0.1676
Cabbage,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,50.45,64.21,57.33,128.5,2026-06-28,data.gov.in,64.38,52.7,0.0731,0.0525,0.0172
Maize,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,14.82,18.86,16.84,2866.3,2026-06-28,data.gov.in,17.69,66.8,0.0699,0.1186,-0.0105
Broken Rice,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,47.52,60.48,54.0,3774.5,2026-06-28,data.gov.in,57.43,64.7,0.099,-0.0782,-0.0066
Hybrid Cotton,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,28.03,35.67,31.85,1500.5,2026-06-28,data.gov.in,36.21,38.1,0.0823,-0.0597,0.0245
Onion,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,20.67,26.31,23.49,1918.7,2026-06-28,data.gov.in,25.01,69.7,0.0701,0.0796,0.0597
Foxtail Millet,MKT0110,Dadra wholesale 12,DN012,Dadra and Nagar Haveli and Daman and Diu,45.31,57.67,51.49,2245.9,2026-06-28,data.gov.in,54.17,34.4,0.225,0.05,0.1265
Parboiled Rice,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,51.78,65.9,58.84,1739.0,2026-06-28,AGMARKNET,67.84,36.6,0.1708,-0.0131,-0.0086
Pigeon Pea,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,56.21,71.55,63.88,1397.7,2026-06-28,AGMARKNET,72.86,53.1,0.1734,0.0262,-0.0179
Stevia,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,48.55,61.79,55.17,4630.0,2026-06-28,AGMARKNET,59.0,34.0,0.1334,0.0858,-0.0124
Pumpkin,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,48.29,61.45,54.87,4352.1,2026-06-28,AGMARKNET,62.91,26.6,0.0663,0.0629,-0.0462
Cucumber,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,52.32,66.58,59.45,2430.7,2026-06-28,AGMARKNET,63.49,15.0,0.183,-0.0622,0.1098
Cardamom,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,59.63,75.89,67.76,4845.4,2026-06-28,AGMARKNET,78.59,47.4,0.1114,0.013,-0.0917
Mango,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,48.38,61.58,54.98,3126.9,2026-06-28,AGMARKNET,60.08,60.5,0.1629,0.0389,-0.0131
Cluster Beans,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,50.56,64.36,57.46,3153.8,2026-06-28,AGMARKNET,65.99,33.4,0.2441,-0.0277,0.1349
Garlic,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,96.61,122.95,109.78,3731.9,2026-06-28,AGMARKNET,124.73,93.5,0.0996,-0.0021,0.1548
Clove,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,28.35,36.09,32.22,652.5,2026-06-28,AGMARKNET,37.97,46.1,0.2026,0.0962,-0.0169
Tapioca,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,36.72,46.74,41.73,653.9,2026-06-28,AGMARKNET,44.54,68.3,0.2029,0.0905,0.1331
Linseed,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,39.04,49.68,44.36,1395.8,2026-06-28,AGMARKNET,49.63,78.0,0.2098,0.0994,0.02
Bajra,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,41.97,53.41,47.69,3201.0,2026-06-28,AGMARKNET,50.14,45.2,0.1746,0.0409,-0.0204
Niger Seed,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,60.89,77.49,69.19,1524.7,2026-06-28,AGMARKNET,75.91,74.7,0.0905,-0.0256,0.0697
Sweet Potato,MKT0111,Dadra APMC 13,DN013,Dadra and Nagar Haveli and Daman and Diu,33.91,43.15,38.53,1632.5,2026-06-28,AGMARKNET,41.15,70.3,0.1938,0.0883,-0.0349
Isabgol,MKT0112,Dadra mandi 14,DN014,Dadra and Nagar Haveli and Daman and Diu,54.82,69.76,62.29,3341.1,2026-06-28,eNAM,68.12,54.3,0.2001,0.1145,-0.1031
